year,borough,category,rent
2017,Enfield,One Bedroom,1035
2017,Greenwich,One Bedroom,1123
2017,Hackney,One Bedroom,1472
2017,Hammersmith and Fulham,One Bedroom,1435
2017,Haringey,One Bedroom,1229
2017,Harrow,One Bedroom,1055
2017,Havering,One Bedroom,846
2017,Hillingdon,One Bedroom,973
2017,Hounslow,One Bedroom,1200
2017,Islington,One Bedroom,1590
2017,Kensington and Chelsea,One Bedroom,2181
2017,Kingston upon Thames,One Bedroom,1108
2017,Lambeth,One Bedroom,1340
2017,Lewisham,One Bedroom,1125
2017,Merton,One Bedroom,1199
2017,Newham,One Bedroom,1177
2017,Redbridge,One Bedroom,966
2017,Richmond upon Thames,One Bedroom,1199
2017,Southwark,One Bedroom,1377
2017,Sutton,One Bedroom,896
2017,Tower Hamlets,One Bedroom,1515
2017,Waltham Forest,One Bedroom,1056
2017,Wandsworth,One Bedroom,1403
2017,Westminster,One Bedroom,1973
2017,City of London,Two Bedroom,2681
2017,Barking and Dagenham,Two Bedroom,1153
2017,Barnet,Two Bedroom,1435
2017,Bexley,Two Bedroom,1052
2017,Brent,Two Bedroom,1535
2017,Bromley,Two Bedroom,1223
2017,Camden,Two Bedroom,2183
2017,Croydon,Two Bedroom,1168
2017,Ealing,Two Bedroom,1520
2017,Enfield,Two Bedroom,1307
2017,Greenwich,Two Bedroom,1386
2017,Hackney,Two Bedroom,1904
2017,Hammersmith and Fulham,Two Bedroom,1934
2017,Haringey,Two Bedroom,1544
2017,Harrow,Two Bedroom,1346
2017,Havering,Two Bedroom,1058
2017,Hillingdon,Two Bedroom,1228
2017,Hounslow,Two Bedroom,1479
2017,Islington,Two Bedroom,2069
2017,Kensington and Chelsea,Two Bedroom,3367
2017,Kingston upon Thames,Two Bedroom,1391
2017,Lambeth,Two Bedroom,1630
2017,Lewisham,Two Bedroom,1367
2017,Merton,Two Bedroom,1509
2017,Newham,Two Bedroom,1421
2017,Redbridge,Two Bedroom,1235
2017,Richmond upon Thames,Two Bedroom,1621
2017,Southwark,Two Bedroom,1732
2017,Sutton,Two Bedroom,1185
2017,Tower Hamlets,Two Bedroom,1926
2017,Waltham Forest,Two Bedroom,1287
2017,Wandsworth,Two Bedroom,1778
2017,Westminster,Two Bedroom,2777
2011,City of London,Three Bedroom,..
2011,Barking and Dagenham,Three Bedroom,1356
